product_id,observations,actual_demand,hgb_total_abs_error,catboost_total_abs_error,hgb_mean_abs_error,catboost_mean_abs_error,hgb_mean_error,catboost_mean_error
652,1,48,10.22409275776591,3.5587593649045175,10.22409275776591,3.5587593649045175,-10.22409275776591,-3.5587593649045175
653,2,96,36.07068764395778,30.079580855359637,18.03534382197889,15.039790427679819,-18.03534382197889,-15.039790427679819
655,12,101,146.98777239256518,113.44269099658369,12.248981032713765,9.45355758304864,8.279703419867039,3.401446763902953
656,19,238,195.28664328574942,190.29891407728792,10.278244383460496,10.015732319857259,-2.7574969257656514,-5.981053541845154
657,15,106,95.86697785256266,81.39903129429945,6.39113185683751,5.42660208628663,2.5761394685128662,1.7988123962961884
658,26,269,206.46662437888443,245.27170630744976,7.941024014572478,9.433527165671144,2.0594870554982974,3.600775156911953
659,15,159,58.244418444288485,61.9594913291078,3.8829612296192324,4.1306327552738535,2.0963537969573016,2.2224778004597
660,26,119,158.2415364374594,116.10503005579268,6.086212939902284,4.465578079068949,2.7201277298541746,0.6371007739587836
661,39,936,743.6069648232931,755.3314340728332,19.06684525187931,19.367472668534184,-9.703982389310587,-8.76588503751542
662,44,605,393.63478690185826,374.33883190246144,8.946245156860416,8.507700725055942,-1.3289466321153331,-2.997824387643383
663,8,154,104.2479917120941,110.8271324499199,13.030998964011763,13.853391556239988,4.958555432118244,6.138335747088089
664,25,267,225.80175877150745,227.26452185083252,9.032070350860298,9.0905808740333,0.9884424231592616,-0.024510888636354197
665,17,287,189.57457700392698,186.69168858716301,11.151445706113352,10.981864034539,-2.410561839021163,-2.2226258596463966
666,48,1876,1665.0707458570105,1563.7030018660078,34.68897387202105,32.5771458722085,-16.872829990533486,-16.717394917412225
667,23,671,532.4606560076897,502.0916251050255,23.150463304682162,21.83007065674024,-13.962586135306656,-10.370278449274252
668,4,5,58.850723901485466,46.352740106081406,14.712680975371367,11.588185026520351,14.712680975371367,11.588185026520351
669,4,19,10.149374092209204,9.472000981186598,2.537343523052301,2.3680002452966495,2.537343523052301,1.6629215862322133
670,6,11,22.857592083612353,7.9166890969906625,3.809598680602059,1.319448182831777,3.809598680602059,1.0685072536760583
672,14,123,133.0666946648904,149.55924845030003,9.504763904635029,10.682803460735716,7.48740642807667,7.272544388307616
673,1,3,15.100851780889357,15.726959961678052,15.100851780889357,15.726959961678052,15.100851780889357,15.726959961678052
674,25,215,176.8469939023824,145.01522993396225,7.0738797560952955,5.80060919735849,4.182875932031823,-0.4895020730377753
675,30,326,212.91402863126854,205.89838128444052,7.097134287708951,6.863279376148017,2.453076501608511,0.7725549949356275
677,47,463,385.86638174626535,361.61340519989767,8.209923015877987,7.693902238295695,-1.2922376555595616,-3.618020527472473
681,24,71,92.57840767644404,74.29250038943634,3.8574336531851685,3.0955208495598474,3.073274743578511,1.2248736818309323
682,27,177,372.86610722751146,287.97802566029446,13.809855823241165,10.665852802233129,12.053985351128096,8.080598299950319
683,49,283,294.88103731172816,235.63733795603065,6.017980353300575,4.8089252644087885,2.310655487375199,-0.007807618808201126
684,31,147,155.92785292449182,128.9878210131902,5.029930739499736,4.160897452038394,1.5011726800550644,-0.7132255288261055
685,34,313,452.5737655814834,413.25773341221736,13.310993105337747,12.154639218006393,10.800608324000233,8.603603432120009
687,62,2138,1956.640118992731,1885.0453873042586,31.558711596656952,30.403957859746107,7.583019842476287,5.396011868677713
688,54,1140,1128.2216689654074,1117.7433136181703,20.892993869729768,20.69895025218834,7.941260076985173,7.706600869874756
689,66,2031,1781.8282636894937,1926.6914309569383,26.9973979346893,29.19229440843846,3.985149762169915,5.827119715164303
690,65,2171,1673.9577008254644,1846.2303895575699,25.753195397314837,28.403544454731843,2.9935959838365096,7.377525613331914
691,62,1820,1697.6501811079097,1655.506211756081,27.381454533998543,26.701713092840016,3.354162644238931,1.8033267278556588
692,21,96,61.59499303241269,57.6879326949977,2.933094906305366,2.7470444140475094,1.255737431229085,0.6528633018727801
695,3,14,19.53946900610691,20.76995268739583,6.513156335368969,6.923317562465276,5.124111560615565,6.923317562465276
696,9,30,105.12006374044485,65.35071341753792,11.68000708227165,7.261190379726435,10.409124627790183,4.551697477942671
699,8,16,29.857592083612353,20.65420993845757,3.732199010451544,2.581776242307196,3.6429320139353925,2.3269991913991532
700,39,673,644.3820122417719,637.7366640085673,16.52261569850697,16.352222154065828,4.426775656163663,3.6217021988698073
701,40,1039,934.0862141207651,939.2436235256606,23.35215535301913,23.481090588141516,-2.6768978660834377,-3.860694399023629
702,6,10,23.857592083612353,11.964118367855763,3.9762653472687255,1.9940197279759604,3.9762653472687255,0.9865408765951953
